"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2021","270,973","269,965","271,783","268,740","","0.48%"
"01/04/2021","269,680","267,799","270,208","265,967","","1.20%"
"01/01/2021","266,493","266,660","266,826","266,648","","0.00%"
"12/31/2020","266,492","266,186","267,127","264,810","","0.22%"
"12/30/2020","265,902","265,493","266,357","263,530","","0.35%"
"12/29/2020","264,979","265,186","266,638","264,478","","0.12%"
"12/28/2020","264,665","266,546","269,785","264,587","","-0.29%"
"12/24/2020","265,429","265,970","267,322","265,471","","0.18%"
"12/23/2020","264,948","264,268","266,832","263,760","","0.72%"
"12/22/2020","263,053","265,227","267,488","264,033","","-0.57%"
"12/21/2020","264,564","265,720","269,878","262,351","","-0.09%"
"12/18/2020","264,797","265,952","266,661","264,792","","-0.27%"
"12/17/2020","265,515","263,454","267,467","262,945","","1.08%"
"12/16/2020","262,678","261,715","263,601","260,571","","0.60%"
"12/15/2020","261,100","257,536","262,033","257,275","","1.58%"
"12/14/2020","257,027","264,620","264,646","256,517","","-0.67%"
"12/11/2020","258,751","259,072","260,182","256,852","","0.01%"
"12/10/2020","258,719","259,669","260,999","257,907","","-0.09%"
"12/09/2020","258,958","263,913","264,017","257,608","","-1.62%"
"12/08/2020","263,212","262,697","264,673","262,389","","0.39%"
"12/07/2020","262,182","259,249","263,588","257,134","","1.30%"
"12/04/2020","258,827","260,324","260,915","258,022","","-0.26%"
"12/03/2020","259,495","258,567","260,815","257,771","","0.63%"
"12/02/2020","257,860","256,486","258,862","255,283","","0.78%"
"12/01/2020","255,871","250,934","256,820","250,703","","2.22%"
"11/30/2020","250,322","252,077","252,276","248,910","","-0.50%"
"11/27/2020","251,590","255,365","255,908","249,946","","-1.38%"
"11/26/2020","255,109","255,618","256,585","254,638","","-0.10%"
"11/25/2020","255,356","255,881","257,062","254,909","","-0.05%"
"11/24/2020","255,480","260,066","260,237","254,887","","-1.60%"
"11/23/2020","259,641","264,864","265,792","259,048","","-1.90%"
