"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2022","24.5700","24.4550","24.6850","24.2400","","0.57%"
"04/06/2022","24.4300","24.3360","24.5800","24.1200","","0.49%"
"04/05/2022","24.3105","24.5600","24.9550","24.2250","","-0.78%"
"04/04/2022","24.5021","24.6250","24.8750","24.2800","","-0.44%"
"04/01/2022","24.6100","24.8050","24.8950","24.4200","","-0.65%"
"03/31/2022","24.7721","24.8658","25.0950","24.5698","","-0.29%"
"03/30/2022","24.8445","24.7730","25.0750","24.6929","","0.39%"
"03/29/2022","24.7486","24.8500","25.0550","23.9744","","-0.37%"
"03/28/2022","24.8400","25.5300","25.6035","24.7931","","-2.63%"
"03/25/2022","25.5100","25.5370","25.7550","25.2600","","-0.01%"
"03/24/2022","25.5115","25.1050","25.8550","24.9600","","1.79%"
"03/23/2022","25.0635","24.7836","25.2150","24.6750","","1.23%"
"03/22/2022","24.7595","25.2175","25.4350","24.5800","","-1.74%"
"03/21/2022","25.1970","24.9560","25.3250","24.8850","","0.99%"
"03/18/2022","24.9500","25.3761","25.4578","24.8250","","-1.52%"
"03/17/2022","25.3350","25.0850","25.5550","25.0058","","1.08%"
"03/16/2022","25.0646","24.8865","25.1450","24.4600","","0.81%"
"03/15/2022","24.8630","25.0365","25.1250","24.5285","","-0.61%"
"03/14/2022","25.0155","25.9000","25.9566","24.9250","","-3.05%"
"03/11/2022","25.8019","25.9070","26.0350","25.4089","","-0.31%"
"03/10/2022","25.8816","25.7600","26.0750","25.3100","","0.58%"
"03/09/2022","25.7328","26.4150","26.8150","25.4000","","-2.48%"
"03/08/2022","26.3875","25.6800","26.9600","25.3600","","2.84%"
"03/07/2022","25.6585","25.8500","26.1650","25.2976","","-0.03%"
"03/04/2022","25.6661","25.1850","25.7650","25.0400","","2.01%"
"03/03/2022","25.1600","25.2850","25.4850","24.9600","","-0.35%"
"03/02/2022","25.2482","25.3928","25.4350","24.8562","","-0.48%"
